,wine,wine_notes,vintage
96,"Fowles Shiraz Victoria Ladies Who Shoot Their Lunch Wild Ferment
-","Blackberry and huckleberry flavors are concentrated and plump, with appealing details of black tea, clove and dried mint. Firm tannins never get in the way, firming up slightly on the finish. Drink now. 5,000 cases made, 1,000 cases imported. —MW",2018
97,"Alain Voge Cornas Les Chailles
-","A bright and fresh style, leading off with floral and bay leaf elements, followed by brisk-edged cassis and damson plum fruit flavors. The racy, mineral-pierced finish shows good persistence. Best from 2022 through 2032. 900 cases made, 40 cases imported. —JM",2017
98,"Grifalco della Lucania Aglianico del Vulture Gricos
-","This bright and well-knit red is medium- to full-bodied, with pleasing tension and creamy tannins defining flavors of mulberry, herbed olive and salty mineral. Aromatic accents of wild sage and bergamot linger on the finish. Drink now through 2025. 4,500 cases made, 1,600 cases imported. —AN",2017
99,"Moric Burgenland Hausmarke
-","This combines power and grace, with a ripe profile and lively acidity. Flavors of cherry and currant harmonize with hints of loam, underbrush and hibiscus tea. Complex and fresh-tasting, but also firm, this red is intriguingly long and inviting. Blaufränkisch, Zweigelt and Pinot Noir. Drink now through 2026. 200 cases imported. —AZ",2017
0,"Bodegas Marqués de Murrieta Rioja Castillo Ygay Gran Reserva Especial
-","Maturing well, this round red is a lovely example of the traditional style. Orange peel, dried cherry, forest floor, vanilla and black tea flavors mingle harmoniously over round tannins and citrusy acidity. Generous but gentle, lively, balanced and harmonious. Tempranillo and Mazuelo. Drink now through 2030. 7,500 cases made, 680 cases imported. —TM",2010
1,"Aubert Pinot Noir Sonoma Coast UV Vineyard
-","Powerful and structured, with minerally richness to the fine-edged red fruit and savory spice flavors. The sleek finish offers impressive purity and clarity to the notes of hot stone, flint and underbrush. Best from 2021 through 2026. 993 cases made. —KM",2018
2,"San Filippo Brunello di Montalcino Le Lucére
-","Effusive aromas of black currant, blueberry, violet and iron mark this expressive red. Supple and harmonious, with a firm backbone of tannins that are refined and integrated. Shows terrific length and complexity. Best from 2023 through 2043. 1,300 cases made, 650 cases imported. —BS",2015
3,"Mayacamas Cabernet Sauvignon Mount Veeder
-","This distinctive red throws a lot of wild sage, herb and sassafras notes out first, while the core of intense red currant, damson plum and bitter cherry fruit waits its turn. The vibrant structure is built on acidity, pulling everything together through the iron-streaked finish. Should age wonderfully. Best from 2022 through 2040. 1,600 cases made. —JM",2016
4,"Domaine de la Vieille Julienne Châteauneuf-du-Pape Les Trois Sources
-","A lush, ripe style, with açaí berry, blueberry and plum reduction notes giving this a slightly exotic bent, while singed bay leaf, worn leather and warm tar accents keep this grounded in a slightly old-school way. Displays ample heft, yet energy ripples through the finish, accompanied by lingering garrigue and tobacco echoes. Best from 2022 through 2040. 2,000 cases made, 500 cases imported. —JM",2016
5,"Kistler Chardonnay Russian River Valley Vine Hill Vineyard
-","Complex, with crunchy acidity to the concentrated citrus and McIntosh apple flavors. Intense minerality shows midpalate, followed by a pure and powerful finish that lingers with dried savory herb and toasty hints. Best from 2022 through 2027. 1,979 cases made. —KM",2017
6,"Massolino Barolo
-","A stream of pure, juicy cherry fruit is at the heart of this red, along with mineral, tobacco and wild herb notes. Firm and tightly wound, with a matrix of dense, refined tannins for support. All the elements are in the right proportions, this just needs time. Best from 2023 through 2045. 5,800 cases made, 2,100 cases imported. —BS",2016
7,"Bodega Piedra Negra Chacayes Los Chacayes
-","Very elegant and rich, with concentrated kirsch, dark plum and cherry tart flavors, backed by medium-grained tannins and fresh acidity. Shows grip midpalate, leading to a finish that turns creamy and plush, primed with spicy richness and chocolate mousse accents. Malbec. Drink now through 2027. 3,000 cases made. —KM",2015
8,"Beaux Frères Pinot Noir Ribbon Ridge The Beaux Frères Vineyard
-","A wine of presence and expression, impeccably structured yet elegantly layered, with evocative raspberry, rose petal and brown baking spice notes that pick up richness and tension toward fine-grained tannins. Drink now through 2029. 3,088 cases made. —TF",2018
9,"Bollinger Brut Champagne La Grande Année
-","This goes from zero to 60 right out of the gate, with an intense spine of acidity driving tightly meshed flavors of crushed black currant, ground coffee, candied grapefruit peel and toasted almond. The profile expands on the palate, carried by the fine, raw silk–like mousse. Richly aromatic and expressive from start to lasting, spiced finish. Disgorged July 2019. Drink now through 2037. 850 cases imported. —AN",2012
10,"Castello di Volpaia Chianti Classico Riserva
-","Enticing aromas of black cherry, black currant and violet are allied to flavors of iron, wet earth and spice in this red, which is loaded with fruit, vibrant acidity and well-mannered tannins. Shows terrific harmony now, yet possesses the structure to age. The long, mouthwatering finish extends the dark fruit and mineral elements. Best from 2021 through 2040. 6,000 cases made, 3,300 cases imported. —BS",2016
11,"Bodegas y Viñedos Valderiz Ribera del Duero
-","The dense, polished texture carries rich, harmonious flavors in this elegant red. Blackberry and currant notes mingle with espresso, mineral, licorice and spice accents. Lovely floral hints emerge on the long, clean finish. Beautifully sculpted. Drink now through 2030. 2,000 cases made, 657 cases imported. —TM",2016
12,"Tolaini Cabernet Sauvignon Toscana Legit
-","An impressive red of breadth and depth, featuring black cherry, plum, leather, earth, iron and cedar aromas and flavors. This is solidly built and well-balanced, with finely honed tannins and lively acidity providing backbone. Best from 2021 through 2040. 15,000 cases made, 2,500 cases imported. —BS",2016
13,"Felton Road Pinot Noir Central Otago Bannockburn
-","Aromatic and expressive, with raspberry, cherry and fresh herb notes that are precise on a smooth and supple frame, offering details of matcha green tea, white pepper and forest floor. A hint of fresh nutmeg lingers on the long, expressive finish, where the tannins provide a slight grip. Drink now through 2034. 5,372 cases made, 199 cases imported. —MW",2018
14,"Duckhorn Merlot Napa Valley Three Palms Vineyard
-","Powerful, rich and complex, with a refined mix of currant, dark cherry and plum tart flavors backed by suave, medium-grained tannins. Well-defined slate and loamy notes stretch out nicely on the finish, with black olive hints. Drink now through 2027. 4,678 cases made. —KM",2017
15,"Caprili Brunello di Montalcino
-","Offering cherry, plum, iron, earth and floral aromas and flavors, this is vibrant and beautifully balanced. Well-structured, with the harmony and concentration to develop. Best from 2023 through 2043. 4,000 cases made, 3,000 cases imported. —BS",2015
16,"Bodegas Godeval Valdeorras Viña Godeval Cepas Vellas
-","Firm and shapely, this white shows power and elegance. The polished texture carries lively flavors of grapefruit, quince, tarragon and flint. Electric acidity gives this energy. Harmonious and long. Drink now through 2026. 1,000 cases made, 600 cases imported. —TM",2018
17,"Hall Sauvignon Blanc Knights Valley
-","Stylish and memorable, this white strikes an ideal balance between richness and vibrancy, with a spicy, smoky note of palo santo and a juicy, crisp core of lemon curd, orange sherbet and dried apricot flavors. A touch of green tea lingers on the finish. Drink now through 2030. 1,225 cases made. —MW",2018
18,"Résonance Pinot Noir Willamette Valley
-","A wine with structure and presence, buoyed by a complex backbone of minerality, wrapped in refined dark cherry and black tea flavors and finishing with fine-grained tannins. Best from 2021 through 2029. 6,550 cases made. —TF",2017
19,"Caiarossa Toscana Pergolaia
-","Flavors of black cherry and blackberry stand up to the dense tannins in this fresh, deep and intense red, but this is equally about the vibrant acidity driving the fruit, wild herb nuances and spice-infused aftertaste. Sangiovese with Cabernet Franc, Cabernet Sauvignon and Merlot. Best from 2022 through 2040. 4,700 cases made, 1,200 cases imported. —BS",2016
20,"Joel Gott Sauvignon Blanc California
-","Lemon blossom, Asian pear, lime sherbet and candied orange peel notes are pure, fragrant and juicy in this silky white, with intensity and a lift of freshness on the finish from an accent of lemon verbena. Drink now. Tasted twice, with consistent notes. 98,000 cases made. —MW",2019
21,"Pierre Amadieu Gigondas Domaine Grand Romane
-","Ripe and juicy in feel, with a wound-up core of raspberry, black currant and cherry pâte de fruit flavors waiting to stretch out, while an undercurrent of alder, tobacco and licorice root notes moves through. Will be a winner when fully knit. Best from 2023 through 2035. 6,500 cases made, 1,000 cases imported. —JM",2017
22,"Allan Scott Sauvignon Blanc Marlborough
-","Supple and succulent, offering a generous and juicy mix of passion fruit, Key lime and ruby grapefruit flavors. Expressive and strong on the finish, with touches of freshly grated ginger and green tea. Drink now. 50,000 cases made, 16,000 cases imported. —MW",2020
23,"Produttori del Barbaresco Barbaresco Rabajà Riserva
-","Though rich, this red offers bright acidity and dense tannins that lend a sense of tightness, with pure cherry, strawberry and floral flavors that are persistent from start to lingering finish, where distinct spice and mineral elements play out. Best from 2023 through 2045. 1,342 cases made, 275 cases imported. —BS",2015
24,"Bodegas Montecillo Rioja Reserva
-","This plump red offers mulled cherry and plum flavors, with notes of cinnamon, sandalwood and cedar. Light tannins are well-integrated, while orange peel acidity keeps this fresh and focused. Harmonious and generous. Tempranillo, Mazuelo and Garnacha. Drink now through 2028. 26,500 cases made, 15,900 cases imported. —TM",2013
25,"Quivira Sauvignon Blanc Dry Creek Valley Fig Tree Vineyard
-","Verbena, beeswax and matcha green tea notes give way to a succulent, polished core of lemon curd, lanolin and quince flavors. Powerfully intense and focused, but the mouthwatering acidity keeps the flavors vivid, fresh and light-footed. Drink now. 1,310 cases made. —MW",2018
26,"Concha y Toro Cabernet Sauvignon Puente Alto Gravas del Maipo
-","Precise and powerful, with fleshy richness to the dark currant, cassis and black olive flavors, matched to dried savory accents. Mocha and dark chocolate details show on the long, richly spiced finish. Drink now through 2027. 1,500 cases made, 500 cases imported. —KM",2017
27,"Bodegas Borsao Syrah Campo de Borja Zarihs
-","This red marries the ripe fruit and toasty oak of the international style with a savory, rustic character. A thick, polished texture, supported by well-integrated tannins and balsamic acidity, carries dark plum, black pepper, soy sauce and loamy earth flavors that are seamless and long. Drink now through 2032. 8,000 cases made, 2,000 cases imported. —TM",2016
28,"The Four Graces Pinot Noir Dundee Hills Reserve
-","A delicate and polished beauty, with expressive violet and raspberry aromas that open to gracefully layered cherry and spiced cinnamon accents that build richness toward refined tannins. Drink now through 2029. 3,064 cases made. —TF",2017
29,"Compañia de Vinos del Atlántico Garnacha Montsant Pinyolet
-","This red has density and polish, with cherry and red plum flavors accented by forest floor, tobacco and licorice notes. Solid and balanced. Drink now through 2026. 3,500 cases made, 3,146 cases imported. —TM",2016
30,"Forge Riesling Seneca Lake Dry Classique
-","Distinct, with mustard flower, yellow apple, quince and jasmine notes mixed together, carried on a slightly rounded, waxy frame and ending with a flash of quinine. Drink now through 2023. 4,000 cases made. —JM",2018
31,"Foradori Manzoni Bianco Vigneti delle Dolomiti Fontanasanta
-","Fragrant aromas and flavors of macerated peach, chamomile and white raspberry are finely meshed in this elegant, medium-bodied white, with mouthwatering acidity. Bright and distinctive, offering a lasting, spice- and saline-laced finish. Lightly chalky in texture. Drink now through 2028. 650 cases imported. —AN",2018
32,"Ken Wright Pinot Noir Willamette Valley
-","Sleek and elegantly rich, with a vibrant backbone of polished tannins and bright acidity wrapped in expressive raspberry and orange zest flavors, with sandalwood and other zesty spice notes. Drink now through 2026. 18,000 cases made. —TF",2017
33,"Glenelly Chardonnay Stellenbosch Estate Reserve
-","Expressive and profound, beautifully balancing oak and fruit and floral flavors. Notes of apple, mint, heather and butter mingle in harmony, supported by vivid acidity. Picks up a bit of crunch toward the long, mouthwatering finish, adding to the interesting texture. Best from 2022 through 2032. 2,500 cases made, 1,009 cases imported. —AZ",2018
34,"Trimbach Riesling Alsace
-","A sleek, minerally white, with well-cut acidity defining flavors of white peach, pine and preserved lemon, showing a rich hint of passion fruit coulis. Fine and creamy, offering a lasting finish. Drink now through 2027. 30,000 cases made, 7,000 cases imported. —AN",2017
35,"Marchesi de' Frescobaldi Chianti Classico Tenuta Perano
-","The core black cherry and blackberry flavors are shaded by iron, petrol and tar elements, with wild Tuscan scrub accents. This is powerful and tannic, and needs some time to integrate. Best from 2021 through 2033. 2,000 cases imported. —BS",2015
36,"Bergström Pinot Noir Willamette Valley Cumberland Reserve
-","Dynamic yet harmonious, with expressive raspberry and rose petal aromas, accented by flavors of orange peel and dusky spice. Builds richness toward polished tannins. Drink now through 2028. 4,210 cases made. —TF",2018
37,"Bodegas Juan Gil Jumilla Blue Label
-","This brawny red shows a savory character, with loamy earth, black tea and tobacco notes framing a rich core of currant and blackberry flavors. The muscular tannins are balanced by juicy acidity. Dense, balanced and expressive. Monastrell, Cabernet Sauvignon and Syrah. Drink now through 2032. 2,500 cases made, 1,250 cases imported. —TM",2017
38,"Boscarelli Vino Nobile di Montepulciano
-","Expressive and harmonious, this red exhibits cherry, blackberry, violet and mineral aromas and flavors. Pure and elegant, with an underlying tension and intensity that drives the lingering aftertaste of fruit, stone and earth, showing a hint of wild herbs. Sangiovese, Canaiolo, Mammolo and Colorino. Best from 2022 through 2038. 4,200 cases made, 800 cases imported. —BS",2016
39,"Tensley Syrah Santa Barbara County Colson Canyon Vineyard
-","Shows ample torque at the core, wrapped in multilayered flavors of blueberry and cherry, accented by licorice, garrigue and crushed rock notes, finishing with brooding yet polished tannins. Drink now through 2028. 1,500 cases made. —TF",2018
40,"Penfolds Shiraz South Australia Bin 28 Kalimna
-","Shows terrific concentration, with dense and chewy tannins providing an appealing backdrop to the blueberry, dried cherry, date and candied ginger flavors. Tobacco, tomato leaf and espresso notes linger on the finish. Drink now through 2030. 9,560 cases imported. —MW",2018
41,"Gloria Ferrer Brut Carneros Royal Cuvée Late Disgorged
-","A sumptuous and rich style, with vibrant Asian pear, fresh yeast roll and spiced nut flavors, taking on a steely structure on the long finish. Drink now. 4,800 cases made. —TF",2013
42,"Domaine Bousquet Malbec Tupungato
-","Offers a smoky aroma, with refined raspberry and red currant flavors, backed by crunchy acidity. Savory midpalate, with a fine-grained finish that offers black licorice and tar notes. Drink now through 2024. 88,540 cases made, 27,793 cases imported. —KM",2019
43,"Hartford Court Chardonnay Russian River Valley
-","Luscious, rich and full of creamy white fruit flavors flanked by buttery accents. Spicy plushness lingers into the finish, with some honeyed notes. Drink now through 2024. 17,000 cases made. —KM",2018
44,"Ferraton Père & Fils Crozes-Hermitage Calendes
-","Juicy and compact, featuring dark plum and blackberry fruit flavors, wrapped in sweet tobacco and licorice root notes. Shows a tarry edge on the finish. Drink now through 2025. 7,500 cases made, 1,000 cases imported. —JM",2017
45,"Vasse Felix Cabernet Sauvignon Margaret River Filius
-","Firm, showing off the region's signature fresh herbal notes, which give this aromatic lift and linger on the finish. Bay leaf, rosemary and cedar details are effortlessly infused into the cassis and plum flavors. A hint of black tea adds to the complexity, as does the seamlessness of the velvety tannins. Drink now through 2035. 18,000 cases made, 900 cases imported. —MW",2017
46,"Vietti Barbera d'Asti Tre Vigne
-","High-toned black currant, black cherry and violet aromas and flavors are accented by vanilla and toast notes in this suave red. Supple and intense, with a lingering aftertaste of dark fruit, licorice and spice. Drink now through 2024. 6,000 cases made, 3,000 cases imported. —BS",2017
47,"Maggy Hawk Pinot Noir Anderson Valley Jolie
-","Fine-grained red fruit and berry flavors are refined and etched with rich spice and sandalwood accents. The juicy finish lingers with vibrant minerality and hot stone notes. Complex and elegant, exhibiting a vibrant balance. Drink now through 2025. 460 cases made. —KM",2017
48,"Istine Chianti Classico
-","Broad and rich, this Chianti Classico boasts black cherry, blackberry, violet and woodsy underbrush notes. Turns taut and sinewy, flexing tannic might on the finish. Food or a little bottle age will help. Best from 2022 through 2036. 850 cases made, 450 cases imported. —BS",2016
49,"Los Vascos Sauvignon Blanc Casablanca Valley
-","A snappy and juicy version, with melon, grapefruit and lemon drop flavors that are well-structured. Zesty acidity lingers into the well-spiced finish. Drink now. 25,000 cases made, 6,000 cases imported. —KM",2019
50,"Paul Hobbs Pinot Noir Sonoma Coast Goldrock Estate
-","Rich and contoured, with ferrous notes to the well-structured red currant, dark cherry and dried blackberry flavors. Supple minerality shows on the spicy finish, where light creamy accents linger. Best from 2021 through 2026. 801 cases made. —KM",2018
51,"Vincent Carême Vouvray Le Clos
-","Searing acidity flows behind the notes of glazed pear, fig and quince, with hints of blanched almond echoing. Silky in texture, with a savory mineral crunch, this gets a bit tight midpalate, but the acidity takes over and keeps this going on the long, spice-infused finish. Could work now with the right food, but better to wait a bit. Best from 2022 through 2032. 500 cases imported. —AZ",2018
52,"Dry Creek Zinfandel Dry Creek Valley Spencer's Hill Vineyard Single Vineyard Series
-","A knockout example of Dry Creek Zin, this is briary yet polished and refined, with lively raspberry, grilled anise and cracked pepper flavors that build power and tension toward broad-shouldered tannins. Drink now through 2030. 800 cases made. —TF",2016
53,"Travaglini Gattinara
-","Bursting with sweet, ripe cherry and plum fruit, this Gattinara also evokes salty licorice, loam, leather and rose hip notes. Firm and balanced, with a minerally aftertaste. Drink now through 2028. 180,000 cases made, 5,250 cases imported. —BS",2015
54,"R. López de Heredia Viña Tondonia Rioja Rosado Viña Tondonia Gran Reserva
-","The deep, rusty color announces that this is not a typical rosé. Distinctive, offering tangy acidity and light, firm tannins that frame the rich texture, giving this plenty of structure for food. Orange peel, tarragon, iodine and beeswax notes frame the dried cherry and tangerine flavors. Unique. Garnacho, Tempranillo and Viura. Drink now through 2029. 1,166 cases made. —TM",2009
55,"Familia Zuccardi Malbec Uco Valley José Zuccardi
-","Explosively fruity aromas and flavors of blackberry, dark cherry and plum tart are creamy and filled with rich savory and cooking spice accents. Powerfully structured, showing dark chocolate and mocha on the finish, with hints of dried mint. Drink now through 2025. 5,000 cases made, 2,000 cases imported. —KM",2016
56,"Château Figeac St.-Emilion
-","This starts slowly, with black tea and sunbaked loam aromas leading off, followed by a deep well of black currant, fig and blackberry preserve flavors that form the core. From there, iron and espresso cream threads line the finish, where the fruit drips slowly and the aromas linger seductively. This will be a slow burn. Cabernet Sauvignon, Merlot and Cabernet Franc. Best from 2024 through 2042. 4,833 cases made. —JM",2017
57,"Mount Veeder Winery Cabernet Sauvignon Napa Valley
-","Distinctive, with blueberry and açaí berry fruit flavors, infused liberally with sassafras, bay leaf and sweet spice notes. A beautiful rendition of mountain fruit, laced with racy acidity and carried by smoldering tannins. Shows impressive detail and energy for a 2017. Best from 2021 through 2035. 29,000 cases made. —JM",2017
58,"Southern Right Sauvignon Blanc Walker Bay
-","This displays intensity and precision, with notes of fleur de sel and sage underscoring grapefruit and white peach flavors. Shows a bit of crunch in texture. Long, inviting and quite balanced. Drink now through 2026. 9,000 cases made, 3,500 cases imported. —AZ",2019
59,"Il Conte Villa Prandone Rosso Piceno Superiore Marinus
-","A rich, medium- to full-bodied red in a well-tailored frame, knitting saturated flavors of crushed boysenberry, pomegranate, black licorice, toast and spice to fine-grained tannins and a graphite-laced underpinning that echoes on the finish. Montepulciano and Sangiovese. Best from 2021 through 2029. 7,000 cases made, 3,000 cases imported. —AN",2017
60,"Marichal Tannat Canelones Premium Varietal
-","Pure-tasting red currant and raspberry flavors are supported by crunchy acidity in this juicy style. Mineral and white pepper accents show midpalate, with freshly crushed cooking spice details on the finish. Drink now through 2023. 2,200 cases imported. —KM",2018
61,"Clos de la Grange Sauvignon Touraine
-","An atypical version, with a gorgeous mix of orchard blossom, yellow apple and elderflower flavors, showing hints of lemon. Elegant yet very expressive, driven by vibrant acidity and a minerally backbone. Turns savory on the well-defined finish. Drink now through 2025. 1,200 cases made, 1,200 cases imported. —AZ",2018
62,"DeLille D2 Columbia Valley
-","Opens with supple and expressive red currant, green olive and clove flavors, then shifts gears and takes on increasingly muscular yet polished tannins on the long finish. Merlot, Cabernet Sauvignon, Cabernet Franc and Petit Verdot. Drink now through 2028. 12,600 cases made. —TF",2017
63,"La Crema Pinot Noir Willamette Valley
-","Sleek and vibrant, with snappy raspberry and red plum flavors accented by sweet basil and spice and finishing with fine-grained tannins. Drink now through 2027. 26,434 cases made. —TF",2018
64,"Ployez-Jacquemart Brut Champagne Extra Quality
-","A lovely hint of honeysuckle accents the flavors of mirabelle plum, white cherry, anise and grated ginger in this vibrant Champagne, which is finely knit and detailed in texture, with a mouthwatering finish of ripe fruit, spice and chalk accents. Disgorged November 2019. Drink now through 2025. 40,000 cases made, 6,930 cases imported. —AN",NV
65,"Invivo Sauvignon Blanc Marlborough X, Sarah Jessica Parker
-","Succulent and refreshing, with Key lime, preserved ginger and green apple candy flavors that are intense and focused. Reveals a hint of toasted green tea on the juicy finish. Drink now. 55,000 cases made, 35,000 cases imported. —MW",2019
66,"Château de Beaucastel Châteauneuf-du-Pape
-","A dark and winey style, offering a mix of plum, black currant and black cherry notes, infused with black tea, fruitcake and anise accents. Solidly built, vibrant and energetic from start to finish, this carries copious fruit easily through the lengthy finish. Grenache, Cinsault, Syrah, Mourvèdre and Counoise. Best from 2020 through 2040. 3,500 cases imported. —JM",2017
67,"Mt. Brave Cabernet Sauvignon Mount Veeder
-","This offers blackberry, boysenberry and açaí berry compote flavors that sparkle with anise, sassafras and sage accents. Shows serious tarry grip, but that recedes into the fruit as this airs in the glass, leaving embers of singed juniper and alder at the very end. Best from 2023 through 2040. 2,700 cases made. —JM",2017
68,"Bodega Luigi Bosca Malbec Luján de Cuyo D.O.C Single Vineyard
-","Sandalwood-inflected dried cherry and berry flavors are filled with sanguine richness. The lusciously spiced finish features a creamy texture. Drink now through 2024. 27,500 cases made, 7,000 cases imported. —KM",2017
69,"Suavia Soave Classico Monte Carbonare
-","Svelte and finely knit, this vivid white is driven by both its minerally underpinning and its rapierlike acidic frame, components well-meshed with the pleasing range of pink grapefruit sorbet, nectarine and grated ginger notes, plus a touch of almond skin that imparts a light, tactile sensation to the racy finish. Drink now through 2027. 3,500 cases made, 1,500 cases imported. —AN",2017
70,"Stark-Condé Cabernet Sauvignon Stellenbosch
-","Elegant, with dark plum and currant notes that are lively and balanced due to a bright beam of acidity and soft tannins, lending support and depth. Not a big Cabernet, but one that would pair well with a variety of foods. Best from 2022 through 2033. 2,074 cases made, 2,000 cases imported. —AZ",2017
71,"Mercer Cabernet Sauvignon Horse Heaven Hills Mercer Bros.
-","A spry and appealing red, with lively black cherry and dried sage flavors that add richness toward fine-grained tannins. Drink now through 2026. 14,980 cases made. —TF",2017
72,"Spy Valley Sauvignon Blanc Marlborough
-","Ruby grapefruit, passionfruit and green apple flavors are vibrant and expressive on a juicy frame. Shows off terrific transparency to the fruit flavors, and a long finish where a touch of Dragonwell green tea peeks through. Drink now. 40,000 cases made, 35,000 cases imported. —MW",2019
73,"Jermann Pinot Grigio Friuli
-","A minerally version, creamy and medium-bodied, with tangy acidity and a zesty edge to the flavors of poached pear, apricot tart and anise, showing a hint of toasted almond that echoes on the finish. Drink now through 2025. 15,250 cases imported. —AN",2017
74,"Château de Pibarnon Bandol
-","A whiff of white pepper and bay leaf gives way to bright raspberry and currant flavors backed by tangy acidity, along with details of game, anise and tea that add depth and interest. Powerful but inviting. Mourvèdre and Grenache. Drink now through 2028. 8,000 cases made. —GS",2016
75,"El Cep Brut Cava Gelida Gran Reserva
-","Apricot and tangerine flavors are set on the fine mousse of this expressive Cava, layered with hints of pastry cream, toasted almond and candied ginger. Fresh and zesty on the lingering finish. Drink now through 2022. 7,500 cases made, 3,000 cases imported. —AN",2015
76,"Ridge Monte Bello Santa Cruz Mountains
-","Distinctive, with vibrant flavors of violet, juniper and anise out front, backed by a core of intense dark currant, plum and cherry fruit. Firmly grounded, showing serious cut and drive through the bay leaf– and sage-accented finish, which sports ample toast alongside the fruit and floral elements. A chiseled, ripped Cabernet for the cellar. Cabernet Sauvignon, Merlot, Petit Verdot and Cabernet Franc. Best from 2023 through 2040. 3,750 cases made. —JM",2017
77,"Clos Fourtet St.-Emilion
-","Very pure, with clearly defined plum, blackberry and black cherry preserve flavors gliding through, gently infused with anise and black tea details along the way. The fruit is so seductive you might miss the sneaky, graphite-edged grip that builds through the finish, promising solid cellaring potential. Merlot, Cabernet Sauvignon and Cabernet Franc. Best from 2022 through 2038. 3,333 cases made. —JM",2017
78,"Stoller Pinot Noir Willamette Valley
-","Supple and elegantly layered, with pretty raspberry, spiced cinnamon and black tea flavors that flesh out on a long finish. Drink now through 2026. 5,300 cases made. —TF",2018
79,"Reata Chardonnay Sonoma Coast
-","Rich, with flint and sea salt notes to the dried fig, quince and preserved lemon flavors, followed by egg cream accents on the well-spiced finish. Drink now through 2023. 5,200 cases made. —KM",2018
80,"Château Smith-Haut-Lafitte Pessac-Léognan White
-","Juicy energy ripples from start to finish, with gooseberry, yellow apple, chamomile, tarragon and verbena notes giving this a tangy and flattering character. Reveals a long salted butter edge on the finish. Lovely now, but will fan out and become plumper with time. Sauvignon Blanc, Sémillon and Sauvignon Gris. Best from 2021 through 2030. 2,083 cases made. —JM",2017
81,"Tormaresca Primitivo Salento Torcicoda
-","Well-balanced and fresh, this medium-bodied red features a thread of ground spice that underscores flavors of crushed black raspberry, cherry, thyme and red licorice. Light tannins sculpt the clean-cut finish. Drink now through 2025. 4,000 cases imported. —AN",2016
82,"Golan Heights Winery Cabernet Sauvignon Galilee Yarden
-","Glossy, full tannins encase the brooding layers of dark cherry reduction and steeped currant, infused with sandalwood, anise and mocha details. This has nice elegance despite the power, with black tea and floral notes chiming in on the finish. Kosher. Drink now through 2025. 24,000 cases made, 4,000 cases imported. —GS",2017
83,"Delas St.-Joseph White Les Challeys
-","Very bright and engaging style, with a flurry of honeysuckle and acacia notes out front followed quickly by lively white peach, Jonagold apple and star fruit flavors. Light quinine inlay adds an extra note of intrigue. Lovely. Drink now through 2027. 700 cases made. —JM",2019
84,"Koehler-Ruprecht Pinot Noir Kabinett Trocken Pfalz
-","Quite juicy, with wild cherry, hibiscus and black tea notes that are in good harmony, supported by light tannins and prominent acidity. Offers a beautiful mouthfeel that coats the palate and invites you back for another sip. Drink now through 2027. 500 cases imported. —AZ",2017
85,"Château Thivin Brouilly Reverdon
-","Lively acidity cuts through the bright cherry and currant notes of this mouthwatering red, showing details of white pepper, wet stone and dried herb that dovetail onto the finish. Offers light, integrated tannins, with great energy and focus throughout. Drink now through 2024. 1,900 cases imported. —GS",2018
86,"Wine & Soul Douro Pintas
-","A generous, harmonious red, boasting steeped cherry, blackberry coulis and cedar flavors that meld into violet, black tea and graphite accents. Details of olive, wild herb and ripe currant play into the finish. Powerful and refined. Best from 2022 through 2035. 1,000 cases made, 70 cases imported. —GS",2017
87,"Sleight of Hand The Archimage Reserve Columbia Valley
-","Svelte and seamlessly complex, featuring refined cherry and blueberry flavors, with hints of lead pencil and spice that build energy toward polished tannins. Cabernet Franc, Merlot and Cabernet Sauvignon. Drink now through 2029. 750 cases made. —TF",2016
88,"Château Cambon La Pelouse Haut-Médoc
-","This packs in some bramble, black cherry and blackberry fruit flavors, harnessing them with a singed alder frame and keeping them moving along with fresh acidity. Cabernet Sauvignon, Merlot and Petit Verdot. Drink now through 2025. 13,333 cases made. —JM",2017
89,"Schäfer-Fröhlich Riesling Nahe Felseneck GG
-","A very expressive, medium-bodied version, with lots of flesh, offset by powerful acidity that gives this ample energy and drive. Notes of jasmine, hops, yellow plum and kumquat impart charm midpalate, while hints of shaved ginger and lemon oil linger on the long, well-defined finish. Best from 2023 through 2036. 500 cases made, 56 cases imported. —AZ",2018
90,"Château Lamartine Malbec Cahors
-","This focused red delivers smoke and mineral undertones flanking the plum and currant flavors, backed by moderate tannins. Accents of bay leaf, spice, violet and black licorice create depth and interest through the energetic finish. Malbec and Merlot. Drink now through 2028. 7,000 cases made, 1,000 cases imported. —GS",2016
91,"Oremus Furmint Tokaji Mandolás
-","A ripe and juicy note of Jonagold apple is layered with hints of beeswax, chive blossom and almond skin in this well-cut, medium-bodied white, which is lightly chalky in texture, with a saline-laced finish. Drink now through 2023. 9,900 cases made, 1,250 cases imported. —AN",2018
92,"Château Pavie-Decesse St.-Emilion
-","This is laden with cassis and warmed plum compote notes, infused liberally with violet and anise accents. Gains depth and richness with air, yet maintains a racy edge due to its mouthwatering acidity and perfectly embedded chalky spine on the finish. Merlot and Cabernet Franc. Best from 2022 through 2040. Tasted twice, with consistent notes. 400 cases made. —JM",2017
93,"Klinker Brick Grenache Blanc Lodi
-","Yellow apple, ripe Bartlett pear and tangerine flavors are pure and lush, set on a medium frame, with crisp acidity. Shows impressive focus and purity of flavor. Fresh finish. Drink now. 750 cases made. —MW",2019
